team,region,seed,ELO,COMPOSITE,FINAL 4,CHAMPS
Kansas,South,1,2097,94.5,45.10%,19.10%
North Carolina,East,1,2075,93.9,43.6,15
Virginia,Midwest,1,2052,92.5,30.4,9.8
Michigan State,Midwest,2,2078,91.8,33.9,8.9
Oklahoma,West,2,1972,90,32,6.8
Villanova,South,2,2045,91.3,22.4,6.4
Kentucky,East,4,2014,90.7,15.9,4.4
West Virginia,East,3,1956,89.3,16.2,3.4
Purdue,Midwest,5,1938,88.7,13,2.7
Oregon,West,1,2033,88,22.6,2.6
Texas A&M,West,3,1915,86.8,12.4,2.4
Xavier,East,2,1973,87.7,9.9,1.8
Arizona,South,6,1953,89,6,1.8
Duke,West,4,1910,87.3,12.1,1.7
Maryland,South,5,1876,87.4,6.3,1.3
Indiana,East,5,1938,87.4,5.8,1.1
Miami (FL),South,3,1933,87.1,4.9,1
Iowa State,Midwest,4,1867,86.5,6.4,1
Baylor,West,5,1837,85.5,6,1
Texas,West,6,1788,84.7,5.9,0.9
Utah,Midwest,3,1887,86.6,5.3,0.8
Wichita State,South,11,1893,86.6,2.7,0.7
California,South,4,1871,86.5,4,0.7
Iowa,South,7,1904,85.9,3.2,0.6
Vanderbilt,South,11,1846,85.6,2.4,0.5
Gonzaga,Midwest,11,1916,86,3.2,0.5
Wisconsin,East,7,1896,84.8,2.9,0.4
Notre Dame,East,6,1832,84.4,2.6,0.3
Connecticut,South,9,1872,85.3,2.1,0.3
Cincinnati,West,9,1794,83.7,3.2,0.3
Butler,Midwest,9,1815,84.2,2.5,0.3
Seton Hall,Midwest,6,1914,84.5,1.8,0.2
Virginia Commonwealth,West,10,1798,83.1,2.2,0.2
Dayton,Midwest,7,1788,82.4,1.6,0.1
Syracuse,Midwest,10,1772,82.7,1.3,0.1
Pittsburgh,East,10,1787,82.3,1.2,0.1
Saint Joseph_s,West,8,1814,81.6,1.1,0.1
Providence,East,9,1824,82.5,0.8,0.1
Northern Iowa,West,11,1751,80.2,0.8,<0.1
Stephen F. Austin,East,14,1824,81,0.4,<0.1
Colorado,South,8,1756,81.5,0.4,<0.1
Yale,West,12,1792,80.2,1,<0.1
Texas Tech,Midwest,8,1777,81.3,0.4,<0.1
Tulsa,East,11,1690,79.9,0.2,<0.1
Michigan,East,11,1768,79.6,0.3,<0.1
Southern California,East,8,1733,81.4,0.2,<0.1
Arkansas-Little Rock,Midwest,12,1734,78.9,0.2,<0.1
South Dakota State,South,12,1735,78.6,0.2,<0.1
Temple,South,10,1730,78.5,0.2,<0.1
North Carolina-Wilmington,West,13,1722,77.7,0.2,<0.1
Oregon State,West,7,1740,77.6,0.2,<0.1
Iona,Midwest,13,1759,78.2,0.1,<0.1
Green Bay,West,14,1667,76.2,0.1,<0.1
Stony Brook,East,13,1663,77.1,0.1,<0.1
Chattanooga,East,12,1610,76.6,<0.1,<0.1
Hawaii,South,13,1737,78,<0.1,<0.1
Fresno State,Midwest,14,1708,76.6,<0.1,<0.1
Buffalo,South,14,1613,75.7,<0.1,<0.1
Cal State Bakersfield,West,15,1635,75,0.1,<0.1
Middle Tennessee,Midwest,15,1638,75,<0.1,<0.1
North Carolina-Asheville,South,15,1553,74.2,<0.1,<0.1
Weber State,East,15,1623,73.3,<0.1,<0.1
Florida Gulf Coast,East,16,1544,71.4,<0.1,<0.1
Southern,West,16,1392,68,<0.1,<0.1
Austin Peay,South,16,1477,68.8,<0.1,<0.1
Hampton,Midwest,16,1488,68.6,<0.1,<0.1
Holy Cross,West,16,1420,66.9,<0.1,<0.1
Fairleigh Dickinson,East,16,1417,66.7,<0.1,<0.1
