"season","prob1","prob2","prob3","factor","errFactor","seePen","successPerc"
NA,NA,NA,NA,NA,NA,NA,NA
"A",0.612524938057357,0.499131475900087,0.495850746956504,0.9,0,0.024,0.777777777777778
"B",0.63990441978764,0.550252056102041,0.548081472224435,0.9,0,0.024,0.714285714285714
"C",0.644558313842276,0.56281198247045,0.556352535313512,0.9,0,0.024,0.682539682539683
"D",0.595421831385384,0.53149188289557,0.527443917053475,0.9,0,0.024,0.666666666666667
"E",0.624896634915207,0.545751285248804,0.544182165666446,0.9,0,0.024,0.746031746031746
"F",0.624189180687838,0.544992481934981,0.542260505527897,0.9,0,0.024,0.6875
"G",0.648744250502096,0.57547454454699,0.640257976758872,0.9,0,0.024,0.6875
"H",0.644382268107698,0.534224984842535,0.530531449740742,0.9,0,0.024,0.6875
"I",0.629668460293909,0.515679627284557,0.514402412600102,0.9,0,0.024,0.75
"J",0.604348294979802,0.508884930379745,0.503124455110321,0.9,0,0.024,0.703125
"K",0.636047941050276,0.554663501520741,0.551486408785978,0.9,0,0.024,0.65625
"L",0.593366230645891,0.438521829980394,0.435863337261001,0.9,0,0.024,0.84375
"M",0.582719744334557,0.482993278601764,0.477529981389404,0.9,0,0.024,0.765625
"N",0.62594691114363,0.503590722564918,0.49949953415728,0.9,0,0.024,0.734375
"O",0.631867666409338,0.543749666551384,0.541736823679399,0.9,0,0.024,0.6875
"P",0.654806173571489,0.606650503944511,0.663659780145271,0.9,0,0.024,0.671641791044776
"Q",0.638738476686813,0.591611846783015,0.631993978548757,0.9,0,0.024,0.716417910447761
"R",0.633874202569748,0.595042482490642,0.591972580863037,0.9,0,0.024,0.671641791044776
