"season","prob1","prob2","prob3","factor","errFactor","seePen"
NA,NA,NA,NA,NA,NA,NA
"A",0.612524938057357,0.497407996546421,0.495954980470497,0.93,2,0.024
"B",0.63990441978764,0.549121029184103,0.547920957092481,0.93,2,0.024
"C",0.644558313842276,0.562332135161388,0.560457593530934,0.93,2,0.024
"D",0.595421831385384,0.534601603889601,0.534696889635656,0.93,2,0.024
"E",0.624896634915207,0.552696317519583,0.552775722307963,0.93,2,0.024
"F",0.624189180687838,0.545098585526401,0.544880944383393,0.93,2,0.024
"G",0.648744250502096,0.579231241606492,0.644706294806342,0.93,2,0.024
"H",0.644382268107698,0.530099577534183,0.528022118153519,0.93,2,0.024
"I",0.629668460293909,0.51435891873885,0.512983473081146,0.93,2,0.024
"J",0.604348294979802,0.50550942401209,0.504092128295851,0.93,2,0.024
"K",0.636047941050276,0.554876908960008,0.554551008822655,0.93,2,0.024
"L",0.593366230645891,0.434513689093632,0.434398568686662,0.93,2,0.024
"M",0.582719744334557,0.48116128588001,0.479122787373664,0.93,2,0.024
"N",0.62594691114363,0.506731340911729,0.505507276622476,0.93,2,0.024
"O",0.631867666409338,0.540152075553697,0.53990956954603,0.93,2,0.024
"P",0.654806173571489,0.60379627980694,0.602052317005142,0.93,2,0.024
"Q",0.638738476686813,0.609669925794993,0.630712469080275,0.93,2,0.024
"R",0.633874202569748,0.593534266813982,0.59187986658721,0.93,2,0.024
